"target_id","sex","recording","n_points","duration_s","mean_speed_ms","mean_height_cm","path_length_m"
600017,"Male","180727_mal-col_d05",981,4.90000000000001,0.315722503602112,-32.0948012232416,1.65634172009213
600018,"Male","180727_mal-col_d05",173,0.860000000000014,0.368609186085556,-39.842774566474,0.33169942455801
600019,"Male","180727_mal-col_d05",13209,66.04,0.0212822365026693,-41.953349927401,0.567492367707683
600020,"Male","180727_mal-col_d05",193,0.95999999999998,0.430677901172206,-42.5699481865285,0.426550866217785
600021,"Male","180727_mal-col_d05",133,0.659999999999997,0.404856108524966,-37.5172932330827,0.275121027364776
600022,"Male","180727_mal-col_d05",1713,8.56,0.29664256988243,-15.9729130180969,2.74935231686585
600023,"Male","180727_mal-col_d05",713,3.56,0.358723919786537,-2.77237026647968,1.35157766620813
600024,"Male","180727_mal-col_d05",117,0.579999999999984,0.001,-47.9,0
700001,"Male","180727_mal-col_d05",21745,108.72,0.397005345648713,15.460961140492,45.163203778429
700002,"Male","180727_mal-col_d05",153,0.76,0.001,-47.9,0.001
700003,"Male","180727_mal-col_d05",1209,6.04000000000001,0.269063654096846,-37.4035566583954,1.78191908700913
700004,"Male","180727_mal-col_d05",241,1.2,0.245028781092166,-36.2473029045643,0.3233163736247
700005,"Male","180727_mal-col_d05",61,0.299999999999997,0.260761352954281,-37.8672131147541,0.0874439019725051
700006,"Male","180727_mal-col_d05",633,3.16,0.271546321277811,-32.7522906793049,0.94169572681196
700007,"Male","180727_mal-col_d05",165,0.819999999999993,0.314856128176907,-37.2939393939394,0.278033059863041
700008,"Male","180727_mal-col_d05",769,3.83999999999999,0.364756313925853,34.4185955786736,1.47678016342481
700009,"Male","180727_mal-col_d05",229,1.14,0.33713306552833,-29.5764192139738,0.40882681057742
700010,"Male","180727_mal-col_d05",881,4.40000000000001,0.317641918803708,-40.0188422247446,1.49096039454016
700011,"Male","180727_mal-col_d05",85,0.420000000000002,0.268024874991827,-39.5188235294118,0.121213418440236
700012,"Male","180727_mal-col_d05",109,0.540000000000006,0.233896824006861,-38.8201834862385,0.144442959507832
700013,"Male","180727_mal-col_d05",57,0.279999999999987,0.404550367692331,-15.3789473684211,0.115859843507894
700014,"Male","180727_mal-col_d05",1197,5.97999999999999,0.356029638824667,-26.4406015037594,2.24397367908128
700015,"Male","180727_mal-col_d05",1777,8.88,0.289856111637599,-39.8059088351154,2.78769254623767
700016,"Male","180727_mal-col_d05",869,4.34,0.262063567460698,1.25937859608746,1.25211279435884
700017,"Male","180727_mal-col_d05",325,1.62,0.405726964451491,-39.9513846153846,0.686101756886628
700018,"Male","180727_mal-col_d05",733,3.66,0.32183802518759,7.09058663028649,1.26377615983676
700019,"Male","180727_mal-col_d05",193,0.95999999999998,0.211351467229649,16.7569948186528,0.234706304371501
700020,"Male","180727_mal-col_d05",1101,5.5,0.291533117176797,8.96621253405995,1.73740874914774
700021,"Male","180727_mal-col_d05",1585,7.92000000000002,0.326084918621751,-40.5144479495268,2.73886839095209
700022,"Male","180727_mal-col_d05",11645,58.22,0.342536142592892,10.6616144267926,21.1361107351427
700023,"Male","180727_mal-col_d05",121,0.600000000000023,0.282571286833032,-36.6628099173554,0.185732011165519
700024,"Male","180727_mal-col_d05",1225,6.11999999999998,0.338774355608202,-39.1089795918367,2.19189110145813
700025,"Male","180727_mal-col_d05",11653,58.26,0.369874593206809,13.4430795698925,22.6223922527781
700026,"Male","180727_mal-col_d05",225,1.12,0.223373236682857,-37.9008888888889,0.283104957665625
700027,"Male","180727_mal-col_d05",821,4.09999999999999,0.292672831428626,-36.2580998781973,1.30059422922462
700028,"Male","180727_mal-col_d05",1549,7.74000000000004,0.313471399489926,-41.4172369270497,2.58725700028547
700029,"Male","180727_mal-col_d05",77,0.379999999999995,0.328286377016045,30.2311688311688,0.131834701994136
700030,"Male","180727_mal-col_d05",977,4.88,0.292374919775933,-39.7673490276356,1.53844345354534
700031,"Male","180727_mal-col_d05",65,0.319999999999993,0.475527075990421,-32.5,0.158106716895234
700032,"Male","180727_mal-col_d05",89,0.439999999999998,0.228346668620051,-41.885393258427,0.112567084579206
700033,"Male","180727_mal-col_d05",337,1.68000000000001,0.359056590735405,-38.0566765578635,0.636858230208259
700034,"Male","180727_mal-col_d05",581,2.89999999999998,0.326608585828951,-35.5805507745267,1.00677322351437
700035,"Male","180727_mal-col_d05",1377,6.88,0.261958974930829,-38.7241560390097,1.931040449439
700036,"Male","180727_mal-col_d05",73,0.360000000000014,0.49753373357148,10.0671232876712,0.184420425394218
700037,"Male","180727_mal-col_d05",181,0.900000000000034,0.001,-47.8491712707182,0.001
700038,"Male","180727_mal-col_d05",1357,6.77999999999997,0.335977782453802,-40.6393754760091,2.33729485409251
800001,"Male","180727_mal-col_d05",3641,18.2,0.344967184537697,15.8231255149684,6.64205079521385
800002,"Male","180727_mal-col_d05",129,0.640000000000001,0.001,-47.9,0.001
800003,"Male","180727_mal-col_d05",7897,39.48,0.340799137262591,14.7340002532607,14.2553030817991
800004,"Male","180727_mal-col_d05",85,0.420000000000002,0.187791231417109,66.0929411764706,0.0912835422896028
800005,"Male","180727_mal-col_d05",105,0.519999999999996,0.331528182762358,-42.2495238095238,0.186484039015672
800006,"Male","180727_mal-col_d05",681,3.4,0.390029467899097,-40.7406754772393,1.38252084886526
800007,"Male","180727_mal-col_d05",81,0.399999999999999,0.192861633529123,-0.250617283950617,0.0885295827650742
800008,"Male","180727_mal-col_d05",2581,12.9,0.290840164240613,9.78128632313058,4.06680783965952
800009,"Male","180727_mal-col_d05",505,2.52,0.306481721753384,-16.5031683168317,0.828483829824888
800010,"Male","180727_mal-col_d05",157,0.780000000000001,0.266674594275746,-12.3312101910828,0.228988575743977
800011,"Male","180727_mal-col_d05",1869,9.34,0.311816360426861,13.3386302835741,3.12362411559423
800012,"Male","180727_mal-col_d05",457,2.28,0.320739038601543,-11.2757111597374,0.776409425425248
800013,"Male","180727_mal-col_d05",481,2.39999999999999,0.445029364775961,-21.6594594594595,1.09857925366373
800014,"Male","180727_mal-col_d05",509,2.54000000000001,0.457202906553861,-32.2200392927308,1.20108318816425
800015,"Male","180727_mal-col_d05",445,2.22,0.471112761166978,14.7984269662921,1.07766435501593
800016,"Male","180727_mal-col_d05",61,0.299999999999983,0.271243077291799,22.4868852459016,0.0862012612853858
800017,"Male","180727_mal-col_d05",121,0.600000000000023,0.48300657501454,17.3190082644628,0.301715968891807
800018,"Male","180727_mal-col_d05",53,0.259999999999991,0.27509876124642,23.7075471698113,0.0782178113158501
800019,"Male","180727_mal-col_d05",277,1.38,0.280363403028866,5.76678700361011,0.419766864436305
800020,"Male","180727_mal-col_d05",885,4.42000000000002,0.335007001942728,13.7362484157161,1.3942586919079
800021,"Male","180727_mal-col_d05",125,0.620000000000005,0.385813756748128,38.0328,0.249539116884361
800022,"Male","180727_mal-col_d05",301,1.5,0.337527702648791,31.7313167259786,0.495360034806743
800023,"Male","180727_mal-col_d05",557,2.78,0.324532360155858,28.5280071813285,0.963853950677039
800024,"Male","180727_mal-col_d05",205,1.02000000000001,0.702077403112327,48.590243902439,0.726350329785335
800025,"Male","180727_mal-col_d05",133,0.660000000000025,0.283538685117573,30.509022556391,0.202169797827813
800026,"Male","180727_mal-col_d05",445,2.22,0.350447796723708,26.9914606741573,0.817225233769504
800027,"Male","180727_mal-col_d05",121,0.599999999999994,0.309927558352686,27.502479338843,0.195802132961222
800028,"Male","180727_mal-col_d05",121,0.599999999999994,0.26960229119676,22.8330578512397,0.171835985326218
800029,"Male","180727_mal-col_d05",77,0.379999999999995,0.407135204848068,26.3415584415584,0.161225422394062
800030,"Male","180727_mal-col_d05",125,0.620000000000005,0.287198844564534,30.7744,0.193711818562458
800031,"Male","180727_mal-col_d05",245,1.22000000000003,0.33533299057112,33.8134693877551,0.434151685975847
800032,"Male","180727_mal-col_d05",73,0.360000000000014,0.404174268524494,27.8561643835616,0.154016189924199
800033,"Male","180727_mal-col_d05",357,1.78000000000003,0.339581960549984,27.9472527472527,0.483152294398095
800034,"Male","180727_mal-col_d05",217,1.07999999999998,0.377868743763554,34.5248847926267,0.428000591215667
800035,"Male","180727_mal-col_d05",161,0.800000000000011,0.361608607906036,34.8080745341615,0.303347871494226
800036,"Male","180727_mal-col_d05",77,0.379999999999995,0.41130749252436,31.4285714285714,0.160726036669592
800037,"Male","180727_mal-col_d05",109,0.539999999999964,0.390871416713425,30.4880733944954,0.21901430383054
800038,"Male","180727_mal-col_d05",113,0.560000000000002,0.0014142135623731,-47.9,0.001
900001,"Female","180820_fem-col_d01",917,4.58,0.540174091898225,3.80479825517994,2.53852683236611
900002,"Female","180820_fem-col_d01",357,1.78,0.356467664954136,23.2313725490196,0.668224299843703
900003,"Female","180820_fem-col_d01",917,4.58,0.246672727189011,-30.1761177753544,1.25328132344027
900004,"Female","180820_fem-col_d01",501,2.5,0.423346990411977,-36.9185628742515,1.10104828516308
900005,"Female","180820_fem-col_d01",1369,6.84,0.416161488967545,3.07554019014693,2.50438878004321
900006,"Female","180820_fem-col_d01",941,4.7,0.390108931435546,-36.6220318237454,1.66164376271052
900007,"Female","180820_fem-col_d01",229,1.14,0.327830346100352,-34.7144104803493,0.394129930275015
900008,"Female","180820_fem-col_d01",4733,23.66,0.51819976554215,3.97339322736695,11.556388844312
900009,"Female","180820_fem-col_d01",561,2.8,0.55350053863375,-19.7001782531195,1.58672208533269
900010,"Female","180820_fem-col_d01",437,2.18,0.533669074881879,-38.6267734553776,1.19288794646149
900011,"Female","180820_fem-col_d01",113,0.56,0.290790160740135,15.2079646017699,0.177884848245081
900012,"Female","180820_fem-col_d01",4033,20.16,0.291946146720152,4.75621565035334,6.03252098554848
900013,"Female","180820_fem-col_d01",77,0.380000000000001,0.518599885251733,-34.0987012987013,0.202177280701382
900014,"Female","180820_fem-col_d01",157,0.779999999999999,0.33274460238311,-12.4369426751592,0.278013137812739
900015,"Female","180820_fem-col_d01",157,0.779999999999999,0.433606421023449,-43.7031847133758,0.348126274315068
900016,"Female","180820_fem-col_d01",481,2.4,0.296805755491404,4.96622516556291,0.72932110891469
900017,"Female","180820_fem-col_d01",449,2.24,0.420450164366398,48.2384615384615,0.936595872179767
900018,"Female","180820_fem-col_d01",109,0.539999999999999,0.00223606797749979,-47.4348623853211,0.002
900019,"Female","180820_fem-col_d01",681,3.4,0.396190324761278,-22.416,0.880676559661339
900020,"Female","180820_fem-col_d01",4277,21.38,0.344299859748229,13.88406453439,6.45568949119476
900021,"Female","180820_fem-col_d01",2753,13.76,0.392006735329097,-31.1489284417,5.6371402545848
900022,"Female","180820_fem-col_d01",97,0.48,0.482608018546761,7.60412371134021,0.241564784749948
900023,"Female","180820_fem-col_d01",745,3.72,0.395681707972074,-38.5812080536913,1.54014260090185
900024,"Female","180820_fem-col_d01",441,2.2,0.424671614483772,-22.5664399092971,0.969289479575714
900025,"Female","180820_fem-col_d01",105,0.52,0.561998967505902,-38.6238095238095,0.296081973944571
900026,"Female","180820_fem-col_d01",277,1.38,0.322104444565001,-43.4306859205776,0.472328729250815
900027,"Female","180820_fem-col_d01",5689,28.44,0.418608091261091,10.3052445601637,11.716783529802
900028,"Female","180820_fem-col_d01",801,4,0.366057919287512,9.16739469578783,1.22529402202948
900029,"Female","180820_fem-col_d01",437,2.18,0.415729998026042,-17.4894736842105,0.942347866308012
900030,"Female","180820_fem-col_d01",145,0.719999999999999,0.401429891240747,-36.6186206896552,0.298957995810162
900031,"Female","180820_fem-col_d01",385,1.92,0.43175820203677,-34.8473389355742,0.795975262730041
900032,"Female","180820_fem-col_d01",89,0.439999999999998,0.348881399214779,-29.114606741573,0.162773890593271
900033,"Female","180820_fem-col_d01",221,1.1,0.522917394347992,-36.30407239819,0.587791923644109
900034,"Female","180820_fem-col_d01",2641,13.2,0.369933929230475,3.30019523623584,4.98179978010262
900035,"Female","180820_fem-col_d01",261,1.3,0.422319366790917,-34.1850574712644,0.57148834449514
900036,"Female","180820_fem-col_d01",637,3.18,0.339424169066027,-42.3193092621664,1.14109010168329
900037,"Female","180820_fem-col_d01",1525,7.62,0.358373068833351,3.62933333333334,2.69633307441934
900038,"Female","180820_fem-col_d01",149,0.740000000000002,0.440624490970501,-27.5838926174497,0.337695836910563
900039,"Female","180820_fem-col_d01",1005,5.02,0.310004502498572,-34.4162846803378,1.37618814649853
900040,"Female","180820_fem-col_d01",537,2.68,0.350937638139609,-36.852886405959,0.99328394371119
900041,"Female","180820_fem-col_d01",2049,10.24,0.440133367160046,4.46442166910688,4.68327454186205
900042,"Female","180820_fem-col_d01",661,3.3,0.439508212205082,-18.4779122541604,1.50519685980896
900043,"Female","180820_fem-col_d01",473,2.36,0.386472954854811,-29.5748414376321,0.955537049192228
900044,"Female","180820_fem-col_d01",757,3.78,0.41879298582453,-36.994715984148,1.65272380824292
900045,"Female","180820_fem-col_d01",125,0.619999999999997,0.294792010713007,-36.276,0.197983574157027
900046,"Female","180820_fem-col_d01",565,2.82,0.45611506497527,-33.9067256637168,1.32513497075084
900047,"Female","180820_fem-col_d01",173,0.859999999999999,0.528813788719069,8.37919075144509,0.468822886798429
900048,"Female","180820_fem-col_d01",1617,8.08,0.323238475560748,-36.473964131107,2.7951305312934
900049,"Female","180820_fem-col_d01",509,2.54,0.34161908775548,-35.639489194499,0.917609941916876
900050,"Female","180820_fem-col_d01",1481,7.4,0.360868182472334,-28.4586042823156,2.39997591180826
900051,"Female","180820_fem-col_d01",1077,5.38,0.419939844060679,-14.0220984215413,2.35204084187144
900052,"Female","180820_fem-col_d01",237,1.18,0.300924381700593,-30.5080168776371,0.378443124116329
900053,"Female","180820_fem-col_d01",781,3.9,0.374680991041646,-36.9788732394366,1.53306114606946
900054,"Female","180820_fem-col_d01",101,0.5,0.609059440700431,23.8960396039604,0.309675108889685
900055,"Female","180820_fem-col_d01",1413,7.06,0.543404194785245,9.95215852795471,3.92676304094248
900056,"Female","180820_fem-col_d01",261,1.3,0.461117197784171,-41.6647509578544,0.618188987271012
900057,"Female","180820_fem-col_d01",937,4.68,0.439248551848201,-32.7141942369264,2.12507746996185
900058,"Female","180820_fem-col_d01",201,1,0.415022265942625,25.1636815920398,0.43176113579586
900059,"Female","180820_fem-col_d01",97,0.480000000000004,0.543076823004731,-29.4072164948454,0.265684941958284
900060,"Female","180820_fem-col_d01",141,0.699999999999989,0.374817158966377,-41.0617021276596,0.275742003407695
900061,"Female","180820_fem-col_d01",313,1.56,0.402813673298252,-30.682428115016,0.656497832286163
900062,"Female","180820_fem-col_d01",229,1.14,0.498455858452183,-3.55065502183406,0.581754646707206
900063,"Female","180820_fem-col_d01",129,0.640000000000001,0.540303658627465,-15.1961240310078,0.354768537774059
900064,"Female","180820_fem-col_d01",1217,6.08,0.407182553369933,-24.624404272802,2.58946987127128
900065,"Female","180820_fem-col_d01",2529,12.64,0.38000674244485,2.82911340206186,4.83683658518471
900066,"Female","180820_fem-col_d01",1441,7.2,0.376901439982531,-37.9605911330049,2.80771825103719
900067,"Female","180820_fem-col_d01",225,1.11999999999999,0.507633606619151,4.84355555555556,0.586037299939826
900068,"Female","180820_fem-col_d01",2013,10.06,0.498086180917655,2.15464480874317,5.16056328504405
900069,"Female","180820_fem-col_d01",1121,5.59999999999999,0.31026202837016,-24.8653880463872,1.86205887209095
900070,"Female","180820_fem-col_d01",209,1.03999999999999,0.503139444921511,-38.3344497607656,0.539024703736994
900071,"Female","180820_fem-col_d01",273,1.36,0.263886859803927,-36.8054945054945,0.389866544512334
900072,"Female","180820_fem-col_d01",1041,5.2,0.383168769953307,-31.1186359269933,2.08824271989966
900073,"Female","180820_fem-col_d01",589,2.94,0.563257058596824,11.3081494057725,1.69261408678746
900074,"Female","180820_fem-col_d01",369,1.84,0.518576962064697,3.49620596205962,0.977023170086765
900075,"Female","180820_fem-col_d01",649,3.24,0.377361734111734,-41.2303543913713,1.27897382758946
900076,"Female","180820_fem-col_d01",4333,21.66,0.50064456350928,13.5288675055515,10.441409959305
900077,"Female","180820_fem-col_d01",921,4.59999999999999,0.414062173029973,-27.8953311617807,1.97809963273729
900078,"Female","180820_fem-col_d01",545,2.72,0.494382507607436,-37.2533944954128,1.38176839766616
900079,"Female","180820_fem-col_d01",537,2.67999999999999,0.426228195545603,-35.6487895716946,1.18729283545551
900080,"Female","180820_fem-col_d01",421,2.10000000000001,0.557286024335006,13.2501187648456,1.18854378795215
900081,"Female","180820_fem-col_d01",469,2.34,0.520309227982222,-29.2667377398721,1.24788073266369
900082,"Female","180820_fem-col_d01",521,2.59999999999999,0.399134042595869,32.0758620689655,1.026381981946
900083,"Female","180820_fem-col_d01",645,3.22,0.405932277872075,-35.9405582922824,1.28281794237584
900084,"Female","180820_fem-col_d01",1269,6.34,0.441850652912063,-1.13064658990253,2.57694330604478
900085,"Female","180820_fem-col_d01",197,0.980000000000004,0.272477695586228,-38.6137055837563,0.289714005825513
900086,"Female","180820_fem-col_d01",285,1.42,0.578110757864127,-34.5842105263158,0.839981359801439
900087,"Female","180820_fem-col_d01",61,0.299999999999997,0.311316253341596,27.3868852459016,0.101853168285041
900088,"Female","180820_fem-col_d01",169,0.840000000000003,0.444509439005191,-21.0195266272189,0.387079651754776
900089,"Female","180820_fem-col_d01",129,0.640000000000001,0.341676320091536,3.5015503875969,0.232724932048435
900090,"Female","180820_fem-col_d01",3469,17.34,0.551165701755772,1.436512433113,8.95316407543208
900091,"Female","180820_fem-col_d01",2177,10.88,0.438923539393879,3.89063545150502,4.75787494914528
900092,"Female","180820_fem-col_d01",557,2.78,0.290435247525342,-40.7107719928187,0.8815185642758
900093,"Female","180820_fem-col_d01",561,2.8,0.330530843745509,-35.6750445632799,0.983938110146293
900094,"Female","180820_fem-col_d01",2553,12.76,0.369769997123304,7.53497622135754,4.4873709095289
900095,"Female","180820_fem-col_d01",501,2.5,0.537424798233976,-38.7786427145709,1.37309018657522
900096,"Female","180820_fem-col_d01",749,3.74000000000001,0.424984879332541,-26.7604806408545,1.64925893940466
900097,"Female","180820_fem-col_d01",1157,5.78,0.378365598788934,-32.6563555555556,2.23246075083099
900098,"Female","180820_fem-col_d01",481,2.40000000000001,0.497408361456418,-30.5633405639913,1.16583491472141
900099,"Female","180820_fem-col_d01",1121,5.60000000000001,0.435307263266755,-20.6009840098401,1.8234787016881
900100,"Female","180820_fem-col_d01",649,3.24,0.339681314503317,-40.8648690292758,1.16855861580573
900101,"Female","180820_fem-col_d01",201,1,0.319622736379695,-35.5880597014925,0.337240140785821
900102,"Female","180820_fem-col_d01",257,1.28,0.366504513401175,-30.1132295719844,0.491448546607538
900103,"Female","180820_fem-col_d01",8345,41.72,0.463888356626653,4.34952847519903,19.5737963035583
