id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.654843,-5.3319554,52.445595,199.34135,19.972313,1.8570746,-5.889649,1.8570746
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.664843,-6.932425,53.205116,199.56134,18.256927,1.785151,-7.1923523,1.785151
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.674843,-8.376159,53.821075,199.83673,15.927793,1.5936158,-19.15353,1.5936158
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:35.684843,-9.827456,54.467533,200.19952,15.145105,1.6296595,3.6043801,1.6296595
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.024849,-34.655266,96.21487,365.76843,20.615906,1.4873912,4.541204,1.4873912
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.034849,-35.17713,95.26798,366.82428,20.08243,1.5112032,2.3811908,1.5112032
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.044849,-35.69528,94.281586,367.88135,17.33338,1.5358573,2.4654121,1.5358573
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.054849,-36.206272,93.2578,368.92508,16.748558,1.5487636,1.2906293,1.5487636
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.084850,-36.7955,91.96715,370.13907,16.865374,0.62240076,-30.877731,1.8672645
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.094850,-37.394737,90.636284,371.35553,20.216373,1.9000158,127.761505,1.9000158
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.104850,-37.993603,89.27131,372.52228,24.660965,1.8929127,-0.7103085,1.8929127
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.114850,-38.58549,87.87816,373.65778,23.564865,1.8922255,-0.068727046,1.8922255
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.124850,-39.17502,86.4771,374.82568,23.110905,1.9169102,2.4684722,1.9169102
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.134850,-39.763405,85.05632,375.99124,25.422945,1.9296019,1.2691704,1.9296019
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.144850,-40.338253,83.611,377.10596,26.46609,1.9136311,-1.5970787,1.9136311
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.154850,-40.89989,82.15872,378.1882,26.552332,1.8962588,-1.7372248,1.8962588
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.164850,-41.453094,80.69741,379.2382,26.014332,1.882528,-1.3730855,1.882528
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.184850,-42.026154,79.08737,380.33408,26.777397,1.0150858,-43.37211,2.0301716
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.194850,-42.500298,77.668655,381.15353,30.915276,1.7056079,69.05221,1.7056079
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.204850,-42.961266,76.23478,382.0196,27.978228,1.7373997,3.1791837,1.7373997
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.224850,-43.45974,74.58913,383.0188,25.296928,0.994367,-37.151638,1.988734
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.234850,-43.96446,72.865776,384.01825,27.126976,2.055138,106.07711,2.055138
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.244850,-44.467285,71.079185,384.9951,27.19224,2.0973597,4.222164,2.0973597
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.254850,-44.971256,69.23483,385.9595,25.047274,2.1414292,4.4069557,2.1414292
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.264850,-45.464836,67.32936,386.82748,22.52303,2.151242,0.981274,2.151242
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.274850,-45.962482,65.389694,387.73135,19.075249,2.1970296,4.5787525,2.1970296
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.304851,-46.48128,63.136955,388.64392,18.036049,0.82840824,-45.619186,2.4853077
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.314851,-46.95323,61.00171,389.4852,17.047274,2.343029,151.46208,2.343029
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.324851,-47.396458,58.89693,390.3926,17.384363,2.334507,-0.8522039,2.334507
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.334851,-47.77248,56.800488,391.1955,19.526814,2.2762067,-5.8300195,2.2762067
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.344851,-48.02286,54.917686,391.8114,19.24997,1.996731,-27.947577,1.996731
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.354851,-48.1655,53.140987,392.45825,19.235825,1.896168,-10.056312,1.896168
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.364851,-48.189445,51.47334,393.10934,20.375408,1.7903979,-10.577007,1.7903979
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.374851,-48.073902,49.91814,393.67084,21.00538,1.6574903,-13.290759,1.6574903
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.384851,-47.83446,48.482445,394.2047,20.363285,1.5503461,-10.7144165,1.5503461
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.394851,-47.456066,47.13759,394.55673,19.284752,1.4407432,-10.960296,1.4407432
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.404851,-46.923107,46.163265,394.78085,18.518604,1.1329515,-30.779167,1.1329515
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.414851,-46.295395,45.276516,394.95477,19.163147,1.1002722,-3.2679293,1.1002722
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.424851,-45.587925,44.457855,395.06735,20.871252,1.0878383,-1.2433889,1.0878383
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.434851,-44.824585,43.701042,395.16336,22.55674,1.0791998,-0.8638588,1.0791998
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.444851,-44.028645,42.98495,395.208,21.103306,1.0715871,-0.76126033,1.0715871
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.454851,-43.224773,42.282486,395.18094,20.31941,1.0678948,-0.3692294,1.0678948
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.464851,-42.43759,41.577965,395.10083,21.951939,1.0594438,-0.84509975,1.0594438
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.474851,-41.685165,40.865612,395.08713,19.325575,1.0362353,-2.320855,1.0362353
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.484851,-40.96735,40.135567,395.10077,20.684607,1.0239199,-1.2315301,1.0239199
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.494851,-40.274082,39.394928,395.10965,19.837624,1.0145154,-0.94046324,1.0145154
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.504851,-39.611004,38.646343,395.09412,20.029734,1.0001473,-1.4367961,1.0001473
01GJGWGTEJMJGYCBETD8EV4Q4W,2022-11-22 23:59:37.514851,-38.96271,37.88945,395.0307,19.666388,0.998595,-0.15524179,0.998595
